ST_CASE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN
10001,12,47,13,4,13,47
10002,99,99,99,99,99,99
10003,1,33,1,50,99,99
10004,14,48,15,9,15,44
10005,18,48,18,54,88,88
10006,18,26,18,32,99,99
10007,99,99,99,99,88,88
10008,99,99,99,99,99,99
10009,11,36,11,54,12,41
10010,0,0,0,33,88,88
10011,11,48,11,57,12,30
10012,20,27,20,43,20,55
10013,17,56,18,13,18,26
10014,6,5,6,17,7,6
10015,16,49,17,32,18,15
10016,20,15,20,33,99,99
10017,99,99,99,99,88,88
10018,12,52,13,6,13,44
10019,0,28,0,41,88,88
10020,99,99,99,99,88,88
10021,13,59,14,15,88,88
10022,15,0,15,11,88,88
10023,19,34,19,42,20,7
10024,20,30,20,36,21,7
10025,23,10,23,18,88,88
10026,23,0,23,21,88,88
10027,99,99,15,22,99,99
10028,23,45,23,51,88,88
10029,8,9,8,19,88,88
10030,6,28,6,36,88,88
10031,16,55,17,14,17,36
10032,14,49,14,55,88,88
10033,18,23,18,33,19,20
10034,6,37,6,45,88,88
10035,7,39,7,50,88,88
10036,19,28,19,41,20,40
10037,10,30,10,37,88,88
10038,7,11,7,20,88,88
10039,7,44,8,11,8,36
10040,4,27,4,40,88,88
10041,7,41,7,46,88,88
10042,17,30,18,6,18,57
10043,15,36,15,50,99,99
10044,19,25,19,43,88,88
10045,20,18,20,39,99,99
10046,99,99,99,99,88,88
10047,12,53,12,59,13,22
10048,6,10,6,29,88,88
10049,16,35,16,42,17,10
10050,21,46,21,54,99,99
10051,9,7,9,43,88,88
10052,99,99,6,0,99,99
10053,15,46,16,1,16,44
10054,14,51,15,7,88,88
10055,6,0,6,25,88,88
10056,19,22,19,32,88,88
10057,15,30,15,50,88,88
10058,14,21,14,27,14,46
10059,21,35,21,41,88,88
10060,11,42,11,47,12,15
10061,4,10,4,23,88,88
10062,4,25,5,6,88,88
10063,0,14,1,3,2,14
10064,18,15,18,30,18,53
10065,2,58,3,28,4,7
10066,20,3,20,8,88,88
10067,10,32,10,41,88,88
10068,18,12,18,50,19,28
10069,11,12,11,19,88,88
10070,23,30,23,44,88,88
10071,99,99,99,99,88,88
10072,15,0,15,17,88,88
10073,16,27,16,43,88,88
10074,15,57,16,12,88,88
10075,21,52,21,57,88,88
10076,1,19,1,29,1,42
10077,18,7,18,14,88,88
10078,99,99,99,99,88,88
10079,21,19,21,37,88,88
10080,7,32,7,46,88,88
10081,13,18,13,36,99,99
10082,17,7,17,20,99,99
10083,20,4,20,14,20,36
10084,99,99,99,99,88,88
10085,14,19,14,25,99,99
10086,20,28,20,38,88,88
10087,6,9,6,12,99,99
10088,99,99,99,99,88,88
10089,99,99,11,5,88,88
10090,13,45,13,50,99,99
10091,99,99,99,99,99,99
10092,6,11,6,21,99,99
10093,10,3,10,10,99,99
10094,10,22,10,30,99,99
10095,21,30,21,58,99,99
10096,99,99,99,99,88,88
10097,17,8,17,40,99,99
10098,99,99,10,23,99,99
10099,10,10,10,39,99,99
10100,16,10,16,25,99,99
10101,20,29,20,40,88,88
10102,5,45,5,50,88,88
10103,22,21,22,25,99,99
10104,0,24,0,36,99,99
10105,8,46,8,53,99,99
10106,14,20,14,28,99,99
10107,99,99,19,0,99,99
10108,99,99,20,25,88,88
10109,20,40,20,56,88,88
10110,99,99,99,99,99,99
10111,23,15,23,20,99,99
10112,99,99,99,99,88,88
10113,1,35,1,45,99,99
10114,99,99,7,0,99,99
10115,99,99,99,99,99,99
10116,0,40,0,44,88,88
10117,1,25,1,51,88,88
10118,5,10,5,35,88,88
10119,8,11,8,19,99,99
10120,99,99,5,45,88,88
10121,99,99,6,29,88,88
10122,18,2,18,7,99,99
10123,20,18,20,23,99,99
10124,7,40,8,5,9,14
10125,99,99,99,99,88,88
10126,15,15,15,39,88,88
10127,14,41,14,53,15,9
10128,7,38,7,44,88,88
10129,4,56,5,15,6,7
10130,6,1,6,8,88,88
10131,5,17,5,35,88,88
10132,9,57,10,5,10,27
10133,22,50,23,3,23,34
10134,99,99,22,0,99,99
10135,15,15,15,23,88,88
10136,2,44,2,55,88,88
10137,99,99,99,99,88,88
10138,99,99,12,11,88,88
10139,5,18,5,29,88,88
10140,99,99,23,0,99,99
10141,99,99,99,99,88,88
10142,17,21,17,30,88,88
10143,15,41,16,11,17,21
10144,23,50,0,3,0,36
10145,14,43,14,53,88,88
10146,99,99,99,99,88,88
10147,18,39,18,49,88,88
10148,99,99,2,5,99,99
10149,11,59,12,12,88,88
10150,17,44,17,48,88,88
10151,18,22,18,36,18,47
10152,99,99,99,99,88,88
10153,11,9,11,20,11,54
10154,6,45,7,1,7,44
10155,18,25,18,53,88,88
10156,0,56,1,1,1,11
10157,14,12,14,35,88,88
10158,99,99,99,99,88,88
10159,16,30,16,45,88,88
10160,13,12,13,50,14,22
10161,17,39,17,56,19,1
10162,7,55,8,8,8,49
10163,12,30,12,43,13,49
10164,2,6,2,20,2,39
10165,12,40,12,49,88,88
10166,6,52,7,10,88,88
10167,99,99,22,0,99,99
10168,99,99,21,35,99,99
10169,17,34,17,49,88,88
10170,9,58,10,3,10,45
10171,17,28,17,34,88,88
10172,7,15,7,39,8,4
10173,16,25,16,28,17,30
10174,9,35,9,50,99,99
10175,22,10,22,23,99,99
10176,16,34,17,0,17,37
10177,9,36,9,40,88,88
10178,14,8,14,18,88,88
10179,5,35,6,3,6,53
10180,6,28,6,35,88,88
10181,10,55,11,5,11,30
10182,9,2,9,8,9,23
10183,1,22,1,45,88,88
10184,3,58,4,8,88,88
10185,99,99,23,10,99,99
10186,16,39,16,44,17,5
10187,22,29,22,52,88,88
10188,19,39,19,45,20,4
10189,3,42,4,5,88,88
10190,21,9,21,28,21,40
10191,22,48,22,59,88,88
10192,5,7,5,37,6,25
10193,18,48,18,49,19,3
10194,15,41,16,3,16,48
10195,6,33,6,53,7,35
10196,9,53,10,25,88,88
10197,19,30,19,27,20,55
10198,16,21,17,10,18,7
10199,23,51,0,1,0,32
10200,88,88,88,88,88,88
10201,6,29,6,43,99,99
10202,7,5,8,29,88,88
10203,9,44,10,7,10,47
10204,99,99,99,99,88,88
10205,18,56,19,26,19,39
10206,18,6,18,16,99,99
10207,99,99,99,99,99,99
10208,8,44,8,52,88,88
10209,21,12,21,23,22,58
10210,99,99,8,0,88,88
10211,16,30,16,37,17,17
10212,17,17,17,30,88,88
10213,11,40,12,7,88,88
10214,2,23,2,36,88,88
10215,15,45,15,50,16,7
10216,17,39,17,45,18,4
10217,4,30,4,33,88,88
10218,21,20,21,38,88,88
10219,0,25,0,40,99,99
10220,88,88,88,88,88,88
10221,18,9,18,21,99,99
10222,18,28,18,38,99,99
10223,5,39,5,54,7,5
10224,23,10,23,24,23,56
10225,5,3,5,16,88,88
10226,7,51,8,3,88,88
10227,20,41,20,52,88,88
10228,13,31,14,0,15,43
10229,5,20,5,29,88,88
10230,9,33,9,45,88,88
10231,99,99,10,15,99,99
10232,22,13,22,25,88,88
10233,99,99,99,99,88,88
10234,11,20,11,35,88,88
10235,13,29,13,35,14,28
10236,99,99,1,8,88,88
10237,2,0,2,7,88,88
10238,12,45,12,56,88,88
10239,13,58,14,18,88,88
10240,14,51,15,8,15,58
10241,6,51,7,0,7,46
10242,21,35,21,54,22,23
10243,2,9,2,14,88,88
10244,5,29,5,39,88,88
10245,99,99,99,99,88,88
10246,16,55,17,6,17,48
10247,20,12,20,30,88,88
10248,12,38,13,4,13,56
10249,18,46,18,57,19,29
10250,99,99,3,15,99,99
10251,20,40,20,52,88,88
10252,99,99,14,9,99,99
10253,18,0,18,10,88,88
10254,13,2,13,22,14,17
10255,9,8,9,25,88,88
10256,99,99,5,37,99,99
10257,3,17,3,55,4,18
10258,13,3,13,8,14,18
10259,99,99,99,99,99,99
10260,10,59,11,28,12,3
10261,19,36,19,45,88,88
10262,12,55,13,17,13,58
10263,0,7,0,25,1,6
10264,21,14,21,19,21,46
10265,20,43,21,59,22,58
10266,99,99,99,99,88,88
10267,11,34,11,52,88,88
10268,14,15,14,39,15,33
10269,23,40,23,52,88,88
10270,99,99,13,33,88,88
10271,16,22,16,35,99,99
10272,23,51,23,56,88,88
10273,5,44,5,54,88,88
10274,20,53,20,58,22,0
10275,22,48,22,54,23,10
10276,13,47,13,52,99,99
10277,22,45,22,50,88,88
10278,7,18,7,33,8,17
10279,17,27,17,33,19,10
10280,3,51,3,58,88,88
10282,2,36,3,30,4,27
10283,18,1,18,20,19,16
10284,18,40,18,50,88,88
10285,1,27,1,38,1,59
10286,17,11,17,26,88,88
10287,99,99,1,31,99,99
10288,14,10,14,21,99,99
10289,8,39,8,58,88,88
10290,13,44,13,56,88,88
10291,20,12,20,16,88,88
10292,19,12,19,19,20,7
10293,13,58,14,11,15,34
10294,99,99,22,7,88,88
10295,22,55,23,23,0,14
10296,8,20,8,30,88,88
10297,99,99,99,99,88,88
10298,99,99,13,5,99,99
10299,99,99,1,39,88,88
10300,5,45,6,7,6,35
10301,18,13,18,34,99,99
10302,99,99,21,9,88,88
10303,1,32,1,51,88,88
10304,16,38,16,53,88,88
10305,23,19,23,27,88,88
10306,10,21,10,40,99,99
10307,12,13,12,18,88,88
10308,20,40,20,50,88,88
10309,13,40,13,49,88,88
10310,13,38,13,31,99,99
10311,15,7,15,25,99,99
10312,21,48,21,55,99,99
10313,16,46,16,49,17,31
10314,99,99,7,30,88,88
10315,20,5,20,14,88,88
10316,99,99,99,99,88,88
10317,15,10,15,20,88,88
10318,20,30,20,34,88,88
10319,22,20,22,31,88,88
10320,88,88,88,88,88,88
10321,13,3,13,13,14,30
10322,14,5,14,20,88,88
10323,16,45,16,56,88,88
10324,18,6,18,11,88,88
10325,5,8,5,15,88,88
10326,8,45,9,3,9,48
10327,13,35,13,37,14,18
10328,22,43,22,48,99,99
10329,18,37,18,42,19,12
10330,16,51,17,4,17,23
10331,0,59,1,16,2,19
10332,6,36,6,45,7,5
10333,2,29,2,38,88,88
10334,16,42,16,54,17,20
10335,20,20,20,45,88,88
10336,99,99,99,99,88,88
10337,17,45,18,0,18,42
10338,99,99,99,99,88,88
10339,23,25,23,38,99,99
10340,7,48,8,14,8,59
10341,14,25,14,30,88,88
10342,99,99,99,99,99,99
10343,6,54,7,7,7,23
10344,99,99,0,18,88,88
10345,14,45,14,53,15,14
10346,8,43,8,55,9,21
10347,3,38,3,49,88,88
10348,12,20,12,27,88,88
10349,14,20,14,44,14,58
10350,17,39,18,4,18,37
10351,3,25,3,31,88,88
10352,22,40,22,47,88,88
10353,1,54,2,5,88,88
10354,14,4,14,15,15,24
10355,17,26,17,32,88,88
10356,18,36,18,50,19,41
10357,19,34,20,7,20,29
10358,99,99,4,0,88,88
10359,7,0,7,25,99,99
10360,21,9,21,20,88,88
10361,21,3,21,8,21,27
10362,99,99,15,0,88,88
10363,15,41,15,48,88,88
10364,14,55,14,24,88,88
10365,22,2,22,6,99,99
10366,99,99,6,6,99,99
10367,22,26,22,35,88,88
10368,15,40,15,56,88,88
10369,13,7,13,18,99,99
10370,10,53,11,11,11,41
10371,17,58,18,15,19,29
10372,20,24,20,36,21,5
10373,11,16,11,18,11,43
10374,16,15,16,36,17,3
10375,14,29,14,35,15,9
10376,21,29,22,7,22,42
10377,16,30,16,39,17,17
10378,0,15,0,38,88,88
10379,99,99,99,99,88,88
10380,99,99,99,99,88,88
10381,6,29,6,51,88,88
10382,3,21,3,57,4,22
10383,99,99,16,24,88,88
10384,20,40,20,50,88,88
10385,17,50,18,11,19,10
10386,15,10,15,24,16,20
10387,20,5,20,12,20,32
10388,6,7,6,15,88,88
10389,88,88,88,88,88,88
10390,3,15,3,30,88,88
10391,99,99,16,42,88,88
10392,6,47,7,1,7,53
10393,23,4,23,17,88,88
10394,2,2,2,32,88,88
10395,2,7,2,13,88,88
10396,16,58,17,2,88,88
10397,2,59,3,21,88,88
10398,1,44,1,52,88,88
10399,15,26,15,33,99,99
10400,4,0,4,30,88,88
10401,15,38,15,51,99,99
10402,16,8,16,13,16,32
10403,14,17,14,32,88,88
10404,16,43,17,12,17,20
10405,7,55,7,59,88,88
10406,8,36,8,45,88,88
10407,20,17,20,28,88,88
10408,15,55,16,0,88,88
10410,11,55,12,13,88,88
10412,22,40,22,51,99,99
10413,15,12,15,21,88,88
10414,19,20,19,30,88,88
10415,22,29,22,37,22,48
10416,12,19,12,31,88,88
10417,99,99,99,99,88,88
10418,2,40,2,51,88,88
10419,99,99,99,99,88,88
10420,10,17,10,31,88,88
10421,18,20,18,34,88,88
10422,4,42,4,55,88,88
10423,18,19,18,35,99,99
10424,14,1,14,12,14,36
10425,5,52,6,7,6,38
10426,9,0,9,25,88,88
10427,15,36,17,24,99,99
10428,6,27,6,35,88,88
10429,23,16,23,38,0,28
10430,14,42,14,50,99,99
10431,9,15,9,33,10,11
10432,23,0,23,7,0,0
10433,3,33,3,46,4,5
10434,2,23,2,34,88,88
10435,3,19,3,46,4,22
10436,6,29,7,0,7,23
10437,1,24,1,44,88,88
10438,99,99,4,35,88,88
10439,7,12,7,18,88,88
10440,16,0,16,10,88,88
10441,3,30,3,35,88,88
10442,20,26,20,38,20,52
10443,18,43,18,56,88,88
10444,22,43,22,57,88,88
10445,2,47,3,0,4,15
10446,4,31,4,48,99,99
10447,0,51,0,56,99,99
10448,88,88,88,88,88,88
10449,7,2,7,25,7,50
10450,5,42,6,5,6,40
10451,13,20,13,32,14,31
10452,19,29,19,45,19,59
10453,2,12,2,13,88,88
10454,21,30,21,44,88,88
10455,23,46,0,12,0,59
10456,14,51,14,58,15,34
10457,1,12,1,23,1,43
10458,13,59,14,10,14,30
10459,99,99,99,99,88,88
10460,20,3,20,21,21,3
10461,99,99,99,99,88,88
10462,18,20,18,30,88,88
10463,18,20,18,40,99,99
10464,1,59,2,19,88,88
10465,15,41,15,47,16,41
10466,99,99,2,7,88,88
10467,13,42,13,48,14,16
10468,8,1,8,7,88,88
10469,0,32,0,35,88,88
10470,17,58,18,4,18,14
10471,23,50,0,8,99,99
10472,19,34,19,46,20,43
10473,14,15,14,19,14,42
10474,14,30,14,47,88,88
10475,8,51,8,56,9,55
10476,21,20,21,35,99,99
10477,20,35,20,45,88,88
10478,7,49,7,57,88,88
10479,9,26,9,32,9,55
10480,16,39,16,49,88,88
10481,18,7,18,30,19,23
10482,99,99,13,12,88,88
10483,17,33,17,47,18,4
10484,99,99,0,50,88,88
10485,23,17,23,23,88,88
10486,14,22,14,38,88,88
10487,20,34,21,0,88,88
10488,99,99,6,20,88,88
10489,1,24,1,29,88,88
10490,10,56,11,10,11,41
10491,19,7,19,17,99,99
10492,20,37,20,47,88,88
10493,19,59,20,35,88,88
10494,18,27,18,37,88,88
10495,5,19,5,31,88,88
10496,22,7,22,25,22,52
10497,15,5,15,30,16,8
10498,8,10,8,26,99,99
10499,22,18,22,40,88,88
10500,13,46,13,59,88,88
10501,21,4,21,15,21,53
10502,10,6,10,9,99,99
10503,22,34,22,47,99,99
10504,2,3,2,8,88,88
10505,23,29,23,31,88,88
10506,13,25,13,38,14,31
10507,1,32,1,39,99,99
10508,18,9,18,21,18,46
10509,1,21,1,43,88,88
10510,4,8,4,24,88,88
10511,20,41,20,58,88,88
10512,13,48,14,3,14,19
10513,99,99,14,5,15,18
10514,21,15,21,27,88,88
10515,20,0,20,35,88,88
10516,15,18,15,55,16,39
10517,18,53,18,59,19,5
10518,19,53,19,55,20,57
10519,20,32,20,38,20,55
10521,3,30,3,55,99,99
10522,99,99,11,5,99,99
10523,15,13,15,27,88,88
10524,13,4,13,10,88,88
10525,5,14,5,25,99,99
10526,14,0,14,7,99,99
10527,18,31,18,37,88,88
10528,17,12,17,22,17,42
10529,1,13,1,32,88,88
10530,9,4,9,23,10,2
10531,8,52,9,5,88,88
10532,9,45,10,14,10,23
10533,10,30,11,24,12,8
10534,99,99,99,99,88,88
10535,21,43,21,50,88,88
10536,14,31,14,37,88,88
10537,20,16,20,28,21,19
10538,19,5,19,24,88,88
10539,16,7,16,18,88,88
10540,99,99,99,99,88,88
10541,19,25,19,35,88,88
10542,1,16,1,25,88,88
10543,3,0,3,23,3,48
10544,7,4,7,21,8,35
10545,18,4,18,21,88,88
10546,6,53,7,16,99,99
10547,9,18,9,39,10,19
10548,19,13,19,29,20,36
10549,5,44,6,20,7,3
10550,9,20,9,40,88,88
10551,1,23,1,55,99,99
10552,1,32,1,45,2,13
10553,8,42,8,52,9,4
10554,0,5,0,38,1,9
10555,2,56,3,1,3,25
10556,22,31,22,55,23,19
10557,0,17,0,27,88,88
10558,5,45,5,55,88,88
10559,20,21,20,25,99,99
10560,99,99,99,99,88,88
10561,8,3,8,12,8,26
10562,21,2,21,15,88,88
10563,14,56,15,22,16,20
10564,4,39,4,43,88,88
10565,5,26,5,40,88,88
10566,19,59,20,10,20,49
10567,9,19,9,47,10,15
10568,12,39,12,50,13,20
10569,99,99,99,99,88,88
10570,22,39,23,3,23,25
10571,19,35,19,40,99,99
10572,12,24,12,45,13,23
10573,15,18,99,99,88,88
10574,15,6,15,20,88,88
10575,7,7,7,21,88,88
10576,21,59,22,8,88,88
10577,20,59,21,7,99,99
10578,10,50,11,28,11,59
10579,12,2,12,12,99,99
10580,1,18,1,22,88,88
10581,4,29,5,8,88,88
10582,5,30,5,55,6,25
10583,7,14,7,21,7,50
10584,15,53,16,22,17,2
10585,18,0,18,25,19,3
10586,18,7,18,14,88,88
10587,12,7,12,15,12,25
10588,11,24,11,28,88,88
10589,99,99,99,99,88,88
10590,11,18,11,38,12,15
10591,15,6,15,28,16,3
10592,13,45,13,53,14,36
10593,19,36,19,47,88,88
10594,11,58,12,4,12,25
10595,17,23,17,55,18,37
10596,99,99,15,0,88,88
10597,99,99,7,25,88,88
10598,4,34,5,0,5,52
10599,99,99,7,0,88,88
10600,0,15,0,45,88,88
10601,5,38,6,14,88,88
10602,17,41,18,10,19,9
10603,8,7,8,20,9,15
10604,13,31,13,46,88,88
10605,10,0,10,9,10,42
10606,1,8,1,20,88,88
10607,19,25,19,34,99,99
10608,2,28,2,45,3,3
10609,99,99,99,99,88,88
10610,2,7,2,14,88,88
10611,99,99,21,15,99,99
10612,5,30,5,50,99,99
10613,14,0,14,14,14,29
10614,9,24,9,30,88,88
10615,11,57,12,19,12,51
10616,8,55,9,2,9,51
10617,2,58,3,11,3,23
10618,13,59,14,12,88,88
10619,7,29,7,43,8,42
10620,16,27,16,43,99,99
10621,18,40,18,50,88,88
10622,16,10,16,23,88,88
10623,21,37,21,43,88,88
10624,7,6,7,52,8,35
10625,1,27,1,45,2,15
10626,19,30,19,39,99,99
