ST_CASE,VE_TOTAL,PERSONS,WEATHERNAME,LGT_CONDNAME,WRK_ZONENAME,TYP_INTNAME,FATALS
10001,2,3,Clear,Daylight,Unknown,Not_an_Intersection,1
10002,2,5,Clear,Daylight,Unknown,Not_an_Intersection,2
10003,1,2,Cloudy,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10004,1,1,Cloudy,Daylight,Unknown,Not_an_Intersection,1
10005,1,1,Rain,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10006,1,5,Clear,Dark_-_Lighted,Unknown,Not_an_Intersection,1
10007,2,1,Clear,Daylight,Unknown,Not_an_Intersection,1
10008,1,1,Clear,Daylight,Unknown,Not_an_Intersection,1
10009,2,3,Clear,Daylight,Unknown,Four-Way_Intersection,1
10010,1,1,Clear,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10011,1,2,Clear,Daylight,Unknown,Not_an_Intersection,1
10012,2,2,Cloudy,Dark_-_Lighted,Unknown,Not_an_Intersection,2
10013,2,4,Cloudy,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10014,2,3,Clear,Dawn,Unknown,Not_an_Intersection,1
10015,1,2,Clear,Daylight,Unknown,Not_an_Intersection,1
10016,1,1,Clear,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10017,1,1,Clear,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10018,1,1,Rain,Daylight,Unknown,Not_an_Intersection,1
10019,1,2,Cloudy,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10020,1,1,Clear,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10021,1,1,Clear,Daylight,Unknown,Not_an_Intersection,1
10022,1,1,Cloudy,Daylight,Unknown,Not_an_Intersection,1
10023,2,2,Clear,Dusk,Unknown,Four-Way_Intersection,1
10024,3,4,Rain,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10025,1,1,Rain,Dark_-_Lighted,Unknown,Four-Way_Intersection,1
10026,2,2,Cloudy,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10027,1,1,Clear,Daylight,Unknown,Not_an_Intersection,1
10028,1,1,Clear,Dark_-_Lighted,Unknown,Not_an_Intersection,1
10029,2,2,Cloudy,Daylight,Unknown,T-Intersection,1
10030,1,1,Blowing_Snow,Dawn,Unknown,Not_an_Intersection,1
10031,1,1,Clear,Dusk,Unknown,Not_an_Intersection,1
10032,1,1,Clear,Daylight,Unknown,Not_an_Intersection,1
10033,1,1,Clear,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10034,1,1,Clear,Daylight,Unknown,Not_an_Intersection,1
10035,1,1,Cloudy,Daylight,Unknown,Not_an_Intersection,1
10036,1,1,Clear,Dark_-_Lighted,Unknown,Not_an_Intersection,1
10037,1,1,Clear,Daylight,Unknown,Four-Way_Intersection,1
10038,1,1,Clear,Daylight,Unknown,Not_an_Intersection,1
10039,3,5,Clear,Daylight,Unknown,Not_an_Intersection,1
10040,1,1,Clear,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10041,1,1,Clear,Daylight,Unknown,Not_an_Intersection,1
10042,2,5,Clear,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10043,1,5,Clear,Daylight,Unknown,Not_an_Intersection,1
10044,1,1,Rain,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10045,1,1,Clear,Dark_-_Not_Lighted,Unknown,Not_an_Intersection,1
10046,1,2,Cloudy,Daylight,Unknown,Not_an_Intersection,2
10047,3,3,Clear,Daylight,Unknown,Not_an_Intersection,1
10048,2,2,Clear,Dark_-_Not_Lighted,Unknown,Four-Way_Intersection,1
